winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, b2b3, g8f6, g1h3, d7d5, g2g3, h7h5, b1a3, c8f5, a1b1, d8d7, c4d5, f5h3, b1b2, h3f1, h1f1, f8a3, f2f3, f6d5, e2e3, b8a6, f3f4, e8c8, h2h4, d5e3, f1g1, e3d1, e1d1, a6b4, b2c2, d7g4, d1e1, b4d3, e1f1, g4f3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, g1h3, e7e5, b1c3, g8f6, c1h6, g7h6, c3a4, d5d4, h1g1, b7b5, e1d2, b5a4, b2b4, f8b4, c2c3, d4c3, d2c1, b4a3, c1b1, d8d4, e2e4, d4b4, b1c2, b4b2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f4, d7d5, h2h3, e7e5, f4f5, d8h4, g2g3, h4g3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g4, d7d5, a2a3, c8g4, c2c4, d5c4, f2f4, b8c6, e2e4, g4d1, b1c3, d1b3, a1b1, e7e5, c3a4, d8h4, e1e2, c6d4, e2e3, h4f4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, d7d5, c2c4, e7e6, h2h3, c7c5, f2f4, d8h4, e1d2, g8f6, d2e3, h4g3, e3d2, f6e4, d2c2, e4f2, d1e1, f2h1, b1c3, g3e1, e2e4, e1f1, f4f5, c5d4, f5f6, h1f2, h3h4, f1d3, c2b3, d5c4, b3a4, d3c3, c1e3, c3b4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"e2e3, g8f6, g2g4, h7h6, b1c3, d7d5, f1h3, e7e5, f2f3, d5d4, c3e2, b8c6, e2c3, d4c3, e1e2, c3d2, c1d2, c8e6, a1b1, e5e4, d2a5, c6a5, d1d2, d8d2, e2d2, a5c4, d2d1, e8c8, d1e1, c4e3, g4g5, h6g5, c2c4, e6h3, b1d1, d8d1, e1f2, f8c5, g1e2, e3g4, f2g3, c5f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"e2e4, e7e5, d1g4, b8c6, b2b4, g8f6, g4g3, f6e4, g3c3, e4c3, d2d3, f8b4, a2a3, b4a5, d3d4, c3b1, e1d1, b1c3, d1e1, c3e4, c1d2, a5d2, e1d1, d8g5, d4d5, e4c3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1a3, e7e5, e2e4, f8a3, g1f3, a3e7, a2a3, b8c6, a1a2, d7d5, f3h4, e7h4, g2g3, h4g5, f1a6, b7a6, d1g4, c8g4, a3a4, g5d2, e1d2, d5e4, d2c3, d8d4, c3b3, d4b4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"a2a4, e7e5, g1h3, d7d5, h3g5, d8g5, c2c3, g5d8, f2f4, e5f4, e2e3, d8h4, e1e2, c8g4, e2d3, g4d1, a4a5, f4f3, a1a4, h4a4, a5a6, a4c4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1h3, e7e5, b1c3, d7d5, e2e3, g8f6, f1c4, d5c4, c3d5, d8d5, d1e2, d5g2, b2b4, g2h1, e2f1, h1f1, e1f1, c8h3, f1e2, f8b4, c1a3, b4a3, a1h1, b8c6, e3e4, c6d4, e2e1, h3g2, h1f1, d4f3, e1e2, e8c8, h2h4, d8d2, e2e3, f6g4"
